,index,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,AgeHome,YrsSinceRemodel,Num_Bathrms_AbvGrd,Num_Bathrms_Bsmt,log_SalePrice,hasBsmt,hasGarage
10,10,11,20,RL,70.0,11200,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,3,1,TA,5,Typ,0,NoFirePlace,Detchd,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,2,2008,WD,Normal,129500,43,43,1,1,11.771436160121729,Basement,Garage
11,11,12,60,RL,85.0,11924,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,NoPool,NoFence,None,0,7,2006,New,Partial,345000,1,0,3,1,12.751299696013497,Basement,Garage
12,12,13,20,RL,71.0,12968,Pave,NoAlley,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,2,1,TA,4,Typ,0,NoFirePlace,Detchd,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,NoPool,NoFence,None,0,9,2008,WD,Normal,144000,46,46,1,1,11.877568578558138,Basement,Garage
13,13,14,20,RL,91.0,10652,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,NoPool,NoFence,None,0,8,2007,New,Partial,279500,1,0,2,0,12.540757571577291,Basement,Garage
14,14,15,20,RL,73.0,10920,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,NoPool,GdWo,None,0,5,2008,WD,Normal,157000,48,48,2,1,11.964001084330445,Basement,Garage
15,15,16,45,RM,51.0,6120,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,2,1,TA,5,Typ,0,NoFirePlace,Detchd,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,NoPool,GdPrv,None,0,7,2007,WD,Normal,132000,78,6,1,0,11.790557201568507,Basement,Garage
16,16,17,20,RL,73.0,11241,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,Shed,700,3,2010,WD,Normal,149000,40,40,1,1,11.911701584927597,Basement,Garage
17,17,18,90,RL,72.0,10791,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,NoBsmt,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,2,2,TA,6,Typ,0,NoFirePlace,CarPort,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,Shed,500,10,2006,WD,Normal,90000,39,39,2,0,11.407564949312402,NoBsmt,Garage
18,18,19,20,RL,66.0,13695,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,3,1,Gd,6,Typ,0,NoFirePlace,Detchd,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,NoPool,NoFence,None,0,6,2008,WD,Normal,159000,4,4,2,1,11.976659481202368,Basement,Garage
19,19,20,20,RL,70.0,7560,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,3,1,TA,6,Min1,0,NoFirePlace,Attchd,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,NoPool,MnPrv,None,0,5,2009,COD,Abnorml,139000,51,44,1,0,11.842229212112828,Basement,Garage
20,20,21,60,RL,101.0,14215,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,NoPool,NoFence,None,0,11,2006,New,Partial,325300,1,0,4,0,12.692503112461443,Basement,Garage
21,21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,TA,N,0,0,205,0,0,0,NoPool,GdPrv,None,0,6,2007,WD,Normal,139400,77,57,1,0,11.845102777308561,Basement,Garage
22,22,23,20,RL,75.0,9742,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,NoPool,NoFence,None,0,9,2008,WD,Normal,230000,6,6,2,0,12.345834587905333,Basement,Garage
23,23,24,120,RM,44.0,4224,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,NoPool,NoFence,None,0,6,2007,WD,Normal,129900,31,31,1,1,11.77452020265869,Basement,Garage
24,24,25,20,RL,71.0,8246,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,NoPool,MnPrv,None,0,5,2010,WD,Normal,154000,42,9,1,1,11.944707881395766,Basement,Garage
25,25,26,20,RL,110.0,14230,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,NoPool,NoFence,None,0,7,2009,WD,Normal,256300,2,2,2,0,12.454103912352162,Basement,Garage
26,26,27,20,RL,60.0,7200,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,3,1,Gd,5,Typ,0,NoFirePlace,Detchd,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD,Normal,134800,59,10,1,1,11.811547477460344,Basement,Garage
27,27,28,20,RL,98.0,11478,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD,Normal,306000,3,2,2,1,12.631340380934517,Basement,Garage
28,28,29,20,RL,47.0,16321,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,NoPool,NoFence,None,0,12,2006,WD,Normal,207500,49,9,1,1,12.24288661865289,Basement,Garage
29,29,30,30,RM,60.0,6324,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,1,1,Fa,4,Typ,0,NoFirePlace,Detchd,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,NoPool,NoFence,None,0,5,2008,WD,Normal,68500,81,58,1,0,11.134589024250317,Basement,Garage
30,30,31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,3,1,TA,6,Typ,0,NoFirePlace,Detchd,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,NoPool,MnPrv,None,0,7,2008,WD,Normal,40000,88,58,1,0,10.596634733096073,Basement,Garage
31,31,32,20,RL,71.0,8544,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,3,1,Gd,6,Typ,0,NoFirePlace,Attchd,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,NoPool,MnPrv,None,0,6,2008,WD,Normal,149350,42,2,2,0,11.914047823644255,Basement,Garage
32,32,33,20,RL,85.0,11049,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,3,1,Gd,7,Typ,0,NoFirePlace,Attchd,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,NoPool,NoFence,None,0,1,2008,WD,Normal,179900,1,1,2,0,12.100156419938624,Basement,Garage
33,33,34,20,RL,70.0,10552,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD,Normal,165500,51,51,2,1,12.016726473799254,Basement,Garage
34,34,35,120,RL,60.0,7313,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,NoPool,NoFence,None,0,8,2007,WD,Normal,277500,2,2,2,1,12.533576212168626,Basement,Garage
35,35,36,60,RL,108.0,13418,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,NoPool,NoFence,None,0,9,2006,WD,Normal,309000,2,1,4,0,12.641096555879882,Basement,Garage
36,36,37,20,RL,112.0,10859,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,3,1,TA,6,Typ,0,NoFirePlace,Attchd,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,NoPool,NoFence,None,0,6,2009,WD,Normal,145000,15,14,2,0,11.884489021402711,Basement,Garage
37,37,38,20,RL,74.0,8532,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,10,2009,WD,Normal,153000,55,19,1,1,11.938193200374572,Basement,Garage
38,38,39,20,RL,68.0,7922,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,3,1,Gd,5,Typ,0,NoFirePlace,Detchd,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,NoPool,NoFence,None,0,1,2010,WD,Abnorml,109000,57,3,1,1,11.59910316121128,Basement,Garage
39,39,40,90,RL,65.0,6040,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,NoBsmt,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,2,2,Fa,6,Typ,0,NoFirePlace,None,None,0,0,None,None,N,0,0,0,0,0,0,NoPool,NoFence,None,0,6,2008,WD,AdjLand,82000,53,53,2,0,11.314474526246391,NoBsmt,NoGarage
40,40,41,20,RL,84.0,8658,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,NoPool,GdWo,None,0,12,2006,WD,Abnorml,160000,41,41,2,0,11.982929094215963,Basement,Garage
41,41,42,20,RL,115.0,16905,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,TA,P,0,104,0,0,0,0,NoPool,NoFence,None,0,7,2007,WD,Normal,170000,48,48,2,1,12.043553716032399,Basement,Garage
42,42,43,85,RL,66.5,9180,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,2,1,Gd,5,Typ,0,NoFirePlace,Attchd,RFn,2,504,TA,Gd,Y,240,0,0,0,0,0,NoPool,MnPrv,None,0,12,2007,WD,Normal,144000,24,24,1,1,11.877568578558138,Basement,Garage
43,43,44,20,RL,70.0,9200,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,3,1,TA,5,Typ,0,NoFirePlace,Detchd,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,NoPool,MnPrv,None,0,7,2008,WD,Normal,130250,33,28,1,1,11.777210959615614,Basement,Garage
44,44,45,20,RL,70.0,7945,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,3,1,TA,6,Typ,0,NoFirePlace,Attchd,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,5,2006,WD,Normal,141000,47,47,1,1,11.856515169360305,Basement,Garage
